Rok produkcji,Przebieg,Pojemność skokowa,Moc,Spalanie W Mieście,Cena,Oferta od_Firmy,Oferta od_Osoby prywatnej,Rodzaj paliwa_Benzyna,Rodzaj paliwa_Diesel,Skrzynia biegów_Automatyczna,Skrzynia biegów_Manualna,Kraj pochodzenia_Inne,Kraj pochodzenia_Niemcy,Kraj pochodzenia_Polska,Zarejestrowany w Polsce_Nie,Zarejestrowany w Polsce_Tak
2020,91000,999.0,115.0,5.5,57900,1,0,1,0,0,1,0,0,1,0,1
2017,175400,1395.0,150.0,6.0,65900,0,1,1,0,0,1,0,0,1,0,1
2008,203400,1595.0,102.0,9.0,22900,0,1,1,0,0,1,0,1,0,1,0
2019,93500,999.0,115.0,7.190939597315435,57000,0,1,1,0,0,1,0,0,1,1,0
2017,185000,1395.0,150.0,6.0,49900,1,0,1,0,0,1,0,0,1,0,1
2017,33600,1395.0,125.0,6.0,98000,0,1,1,0,0,1,0,0,1,0,1
2013,263000,1968.0,150.0,5.0,38800,0,1,0,1,1,0,0,1,0,1,0
2010,166000,1197.0,105.0,7.0,26900,0,1,1,0,0,1,0,1,0,1,0
2019,190875,1598.0,115.0,6.164663461538455,49900,1,0,0,1,0,1,0,0,1,0,1
2020,91000,999.0,115.0,7.190939597315435,57900,1,0,1,0,0,1,0,0,1,0,1
2020,129000,999.0,115.0,7.190939597315435,54900,1,0,1,0,0,1,0,0,1,0,1
2014,280000,1598.0,105.0,4.9,39350,0,1,0,1,0,1,0,0,1,0,1
2021,32038,1984.0,245.0,6.21623931623932,167280,0,1,1,0,1,0,0,0,1,0,1
2007,207123,1968.0,140.0,7.0,18800,1,0,0,1,0,1,1,0,0,1,0
1991,307600,1588.0,60.0,6.164663461538455,3999,0,1,0,1,0,1,1,0,0,1,0
2009,238400,1896.0,105.0,6.0,18900,0,1,0,1,0,1,0,1,0,1,0
2017,159000,1598.0,90.0,4.0,44900,1,0,0,1,0,1,0,0,1,0,1
2015,185111,1598.0,110.0,6.164663461538455,47900,1,0,0,1,0,1,0,1,0,1,0
2013,211000,1598.0,105.0,4.6,31900,0,1,0,1,0,1,0,1,0,1,0
2020,16200,1498.0,150.0,6.5,98000,0,1,1,0,0,1,0,0,1,0,1
2008,232000,1896.0,105.0,6.0,14900,0,1,0,1,0,1,0,1,0,1,0
1998,145000,1595.0,100.0,9.0,30000,0,1,1,0,0,1,0,1,0,0,1
2013,73000,1197.0,105.0,5.6,45900,0,1,1,0,1,0,1,0,0,0,1
2018,62000,1984.0,245.0,6.21623931623932,117900,0,1,1,0,1,0,0,0,1,0,1
2002,222222,1390.0,75.0,8.0,5900,0,1,1,0,0,1,0,1,0,1,0
2007,234000,1896.0,105.0,6.0,15900,0,1,0,1,0,1,0,1,0,1,0
2010,260000,1598.0,105.0,5.7,20800,1,0,0,1,0,1,1,0,0,1,0
2009,293000,1896.0,105.0,6.0,17999,0,1,0,1,0,1,0,1,0,0,1
2005,176000,1595.0,102.0,9.0,16900,0,1,1,0,0,1,0,1,0,1,0
2008,179876,1390.0,160.0,8.0,16999,0,1,1,0,0,1,0,1,0,1,0
2009,262000,1896.0,105.0,7.0,23900,0,1,0,1,1,0,0,1,0,0,1
2012,297021,1598.0,105.0,5.7,22900,0,1,0,1,0,1,1,0,0,1,0
2012,198112,1598.0,105.0,5.0,31500,0,1,0,1,1,0,1,0,0,0,1
2013,99000,1197.0,105.0,6.5,40500,1,0,1,0,0,1,0,1,0,1,0
2001,230000,1896.0,100.0,6.0,11900,0,1,0,1,0,1,0,1,0,1,0
2014,182000,1395.0,140.0,7.0,48900,0,1,1,0,0,1,1,0,0,0,1
2009,265800,1896.0,90.0,6.0,21999,1,0,0,1,0,1,1,0,0,1,0
2018,235000,1598.0,115.0,4.6,44800,0,1,0,1,0,1,0,0,1,0,1
2004,161000,1598.0,115.0,9.0,17900,0,1,1,0,1,0,1,0,0,0,1
2008,303400,1896.0,105.0,5.0,15900,0,1,0,1,0,1,0,1,0,0,1
2010,117000,1595.0,102.0,9.0,29900,0,1,1,0,0,1,0,1,0,1,0
2018,150000,1598.0,115.0,6.164663461538455,49900,1,0,0,1,0,1,0,0,1,0,1
2018,140000,1598.0,115.0,6.164663461538455,48900,1,0,0,1,0,1,0,0,1,0,1
2018,98100,1598.0,115.0,6.0,66900,1,0,0,1,0,1,0,0,1,0,1
2018,158900,1598.0,115.0,6.0,59900,1,0,0,1,0,1,0,0,1,0,1
2018,80400,1498.0,130.0,6.2,74900,1,0,1,0,0,1,0,0,1,1,0
2009,111000,1595.0,102.0,9.0,26500,0,1,1,0,0,1,0,1,0,1,0
2010,203000,1595.0,102.0,8.0,25999,1,0,1,0,0,1,1,0,0,1,0
2019,116000,999.0,115.0,7.190939597315435,49800,1,0,1,0,0,1,0,0,1,0,1
2011,196000,1598.0,105.0,6.164663461538455,26500,1,0,0,1,0,1,1,0,0,1,0
2009,213000,1390.0,80.0,8.0,24900,1,0,1,0,0,1,0,1,0,1,0
2000,210000,1984.0,115.0,8.0,8999,0,1,1,0,1,0,0,1,0,1,0
2020,67363,1498.0,150.0,6.928000000000002,117900,1,0,1,0,1,0,0,0,1,0,1
2020,17845,1498.0,130.0,7.190939597315435,105900,1,0,1,0,0,1,0,0,1,0,1
2017,112000,1395.0,125.0,6.3,69900,1,0,1,0,1,0,0,0,1,0,1
2001,120000,1390.0,75.0,9.0,8888,0,1,1,0,0,1,0,1,0,1,0
2011,198700,1390.0,122.0,8.2,26900,0,1,1,0,0,1,0,1,0,1,0
2017,120200,1395.0,125.0,6.0,69900,0,1,1,0,0,1,0,0,1,0,1
2007,177000,1390.0,80.0,9.0,20900,1,0,1,0,0,1,0,1,0,1,0
2015,125553,1598.0,110.0,4.5,43900,1,0,0,1,0,1,0,1,0,1,0
2000,186000,1390.0,75.0,8.0,9300,0,1,1,0,0,1,0,1,0,0,1
2010,156000,1595.0,102.0,9.0,32800,1,0,1,0,0,1,0,1,0,1,0
2017,158212,1968.0,184.0,5.3,108500,1,0,0,1,1,0,0,0,1,0,1
1982,105358,1588.0,54.0,6.164663461538455,40000,0,1,0,1,0,1,1,0,0,0,1
2023,10,1984.0,245.0,6.21623931623932,198900,1,0,1,0,1,0,1,0,0,1,0
2005,73900,1598.0,115.0,8.0,19900,0,1,1,0,0,1,1,0,0,1,0
2020,96000,999.0,115.0,5.5,55900,1,0,1,0,0,1,0,0,1,0,1
2000,307624,1896.0,90.0,6.0,6500,0,1,0,1,0,1,0,1,0,0,1
2008,289123,1896.0,105.0,6.164663461538455,17900,1,0,0,1,0,1,0,1,0,1,0
2018,190967,1498.0,130.0,7.190939597315435,58900,1,0,1,0,0,1,0,0,1,0,1
2016,84138,1395.0,125.0,7.190939597315435,59900,1,0,1,0,0,1,0,0,1,0,1
2017,86000,1598.0,90.0,4.0,54900,0,1,0,1,0,1,0,0,1,1,0
2019,152000,1598.0,115.0,6.8,52900,1,0,0,1,0,1,0,0,1,0,1
2019,153402,1598.0,115.0,6.164663461538455,55900,1,0,0,1,0,1,0,0,1,0,1
2013,130000,1395.0,122.0,6.0,49900,1,0,1,0,0,1,1,0,0,0,1
2018,220000,1598.0,115.0,6.164663461538455,55900,1,0,0,1,0,1,0,0,1,0,1
2020,69454,1498.0,150.0,6.928000000000002,104900,1,0,1,0,0,1,0,0,1,0,1
2023,1,1498.0,150.0,6.928000000000002,139000,1,0,1,0,0,1,1,0,0,1,0
2018,125100,1598.0,90.0,4.0,63900,1,0,0,1,0,1,0,0,1,0,1
2018,187649,1598.0,115.0,6.164663461538455,54900,1,0,0,1,0,1,0,0,1,0,1
2023,1,1498.0,130.0,7.190939597315435,121500,1,0,1,0,0,1,1,0,0,1,0
2012,267361,1598.0,105.0,6.164663461538455,34900,1,0,0,1,0,1,0,1,0,1,0
2012,270279,1598.0,105.0,4.6,33950,1,0,0,1,0,1,0,1,0,1,0
2020,20500,999.0,90.0,7.190939597315435,74900,0,1,1,0,0,1,1,0,0,0,1
2020,34900,1598.0,115.0,6.164663461538455,94900,1,0,0,1,0,1,0,0,1,0,1
2009,390202,1896.0,105.0,5.0,16500,0,1,0,1,0,1,0,1,0,0,1
2005,226178,1595.0,102.0,9.0,13900,0,1,1,0,0,1,0,1,0,1,0
2013,152000,1197.0,105.0,7.0,44999,0,1,1,0,0,1,1,0,0,1,0
